Title ,PMID,Point,MNCS,Rank,Percent,Year,Journal
Reduction of Coil Mass Artifacts in High-Resolution Flat Detector Conebeam CT of Cerebral Stent-Assi,23721899,2652,1.97,720,88%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Apparent diffusion coefficient mapping of salivary gland tumors: Prediction of the benignancy and ma,17213436,722,1.967930029,731,88%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Diagnostic value of multidetector-row CT angiography in the evaluation of thrombosis of the cerebral,17494676,742,1.967930029,731,88%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Human subinsular asymmetry studied by diffusion tensor Imaging and fiber tracking,17846205,761,1.967930029,731,88%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Endovascular treatment of middle cerebral artery aneurysms as first option: A single center experien,17846214,779,1.967930029,731,88%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Endovascular Treatment Using Predominantly Stent-Assisted Coil Embolization and Antiplatelet and Ant,21372169,1954,1.96,735,88%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Hemorrhagic Complications after Endovascular Treatment of Cerebral Arteriovenous Malformations,24676002,2989,1.96,735,88%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Quantitative T1 and T2 mapping in recurrent glioblastomas under bevacizumab: earlier detection of tu,25287076,5835,1.958762887,737,88%,2015,NEURORADIOLOGY
Pathways of cerebrospinal fluid outflow: a deeper understanding of resorption,25398655,5839,1.958762887,737,88%,2015,NEURORADIOLOGY
Conventional 3T brain MRI and diffusion tensor imaging in the diagnostic workup of early stage parki,25845807,5842,1.958762887,737,88%,2015,NEURORADIOLOGY
Stent-Assisted Coiling of Wide-Neck Intracranial Aneurysms Using Low-Profile LEO Baby Stents: Initia,26021624,3311,1.946902655,740,88%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Extra-Aneurysmal Flow Modification Following Pipeline Embolization Device Implantation: Focus on Reg,25523592,3319,1.946902655,740,88%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Quantitative estimation of permeability surface-area product in astroglial brain tumors using perfus,18202239,1049,1.941747573,742,88%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Neurologic complications of arteriovenous malformation embolization using liquid embolic agents,17974613,1084,1.941747573,742,88%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Crossed Cerebellar Diaschisis in Acute Stroke Detected by Dynamic Susceptibility Contrast MR Perfusi,19193758,1359,1.940298507,744,87%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Endovascular Coil Embolization of 435 Small Asymptomatic Unruptured Intracranial Aneurysms: Procedur,18768715,1377,1.940298507,744,87%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Imaging Findings of Extraventricular Neurocytoma: Report of 3 Cases and Review of the Literature,18842767,1384,1.940298507,744,87%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Utility of susceptibility-weighted MRI in differentiating Parkinson's disease and atypical parkinson,20358367,5201,1.939291737,747,87%,2010,NEURORADIOLOGY
Current concepts of polymicrogyria,20198472,5203,1.939291737,747,87%,2010,NEURORADIOLOGY
Imaging pattern of intracranial hemorrhage in the setting of posterior reversible encephalopathy syn,19956935,5207,1.939291737,747,87%,2010,NEURORADIOLOGY
Is sequential cranial ultrasound reliable for detection of white matter injury in very preterm infan,20213135,5224,1.939291737,747,87%,2010,NEURORADIOLOGY
Coil embolization of anterior circulation aneurysms supported by the Solitaire (TM) AB Neurovascular,19644683,5227,1.939291737,747,87%,2010,NEURORADIOLOGY
Evaluation of CSF flow patterns of posterior fossa cystic malformations using CSF flow MR imaging,16752134,4679,1.931330472,752,87%,2006,NEURORADIOLOGY
Regional brain metabolite abnormalities in inherited prion disease and asymptomatic gene carriers de,16598479,4730,1.931330472,752,87%,2006,NEURORADIOLOGY
Intraarterial injection of colforsin daropate hydrochloride for the treatment of vasospasm after ane,16261335,4765,1.931330472,752,87%,2006,NEURORADIOLOGY
Differential diagnosis of mesiotemporal lesions: case report of neurosyphilis,16021441,4547,1.917808219,755,87%,2005,NEURORADIOLOGY
Development of an MRI rating scale for multiple brain regions: comparison with volumetrics and with,19308367,5113,1.917177914,757,87%,2009,NEURORADIOLOGY
Clinical and MRI Characteristics of Levamisole-Induced Leukoencephalopathy in 16 Patients,19187474,3839,1.913043478,758,87%,2009,JOURNAL OF NEUROIMAGING
Regional Distribution and Clinical Correlates of White Matter Structural Damage in Huntington Diseas,20488902,1635,1.910828025,759,87%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Clinical and Radiological Features of Rotavirus Cerebellitis,20507935,1651,1.910828025,759,87%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Dynamic 320-Section CT Angiography in Cranial Arteriovenous Shunting Lesions,19875470,1659,1.910828025,759,87%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Decreased Left Posterior Insular Activity during Auditory Language in Autism,19749222,1660,1.910828025,759,87%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Detection of right-to-left shunts: Comparison between the international consensus and Spencer Logari,18333839,3770,1.910828025,759,87%,2008,JOURNAL OF NEUROIMAGING
Atypical Wernicke's encephalopathy showing lesions in the cranial nerve nuclei and cerebellum,18298680,3784,1.910828025,759,87%,2008,JOURNAL OF NEUROIMAGING
Magnetic resonance imaging traits in siblings discordant for Alzheimer disease,18808654,3787,1.910828025,759,87%,2008,JOURNAL OF NEUROIMAGING
A Validation Study of Multicenter Diffusion Tensor Imaging: Reliability of Fractional Anisotropy and,22173748,2280,1.91,766,87%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Detection of Microhemorrhage in Posterior Reversible Encephalopathy Syndrome Using Susceptibility-We,22241378,2292,1.91,766,87%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion Tensor-MRI Evidence for Extra-Axonal Neuronal Degeneration in Caudate and Thalamic Nuclei,22383236,2299,1.91,766,87%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Effects of Flow-Diverting Device Oversizing on Hemodynamics Alteration in Cerebral Aneurysms,22555581,2311,1.91,766,87%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Three-dimensional time-of-flight MR angiography at 3 T compared to digital subtraction angiography i,18196229,5027,1.906941266,770,87%,2008,NEURORADIOLOGY
Voxel-Based Morphometry of Disproportionate Cerebrospinal Fluid Space Distribution for the Different,24033752,4269,1.905972046,771,87%,2014,JOURNAL OF NEUROIMAGING
Diffusion tensor imaging in the assessment of normal-appearing brain tissue damage in relapsing neur,16687534,404,1.904761905,772,87%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
A method for clustering white matter fiber tracts,16687538,405,1.904761905,772,87%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Quantitative MR imaging R-2 relaxometry in elderly participants reporting memory loss,16484425,429,1.904761905,772,87%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion-weighted MR imaging lesions after filter-protected stenting of high-grade symptomatic caro,16775290,461,1.904761905,772,87%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Quantitative 3-T diffusion tensor imaging in detecting optic nerve degeneration in patients with gla,23358877,5572,1.901140684,776,87%,2013,NEURORADIOLOGY
Stent-Assisted Coiling of Complex Middle Cerebral Artery Aneurysms: Initial and Midterm Results,20966055,1967,1.9,777,87%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Voxelwise Assessment of the Regional Distribution of Damage in the Brains of Patients with Multiple,21393405,1969,1.9,777,87%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Comparison of 2-Year Angiographic Outcomes of Stent- and Nonstent-Assisted Coil Embolization in Unru,21852378,1995,1.9,777,87%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Incidental Findings in Youths Volunteering for Brain MRI Research,23811972,2624,1.9,777,87%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
"Safety and Efficacy of Neuroform for Treatment of Intracranial Aneurysms: A Prospective, Consecutive",23348764,2636,1.9,777,87%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
"A Meta-Analysis of Observational Intra-Arterial Stroke Therapy Studies Using the Merci Device, Penum",22837311,2640,1.9,777,87%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Performance of Iterative Image Reconstruction in CT of the Paranasal Sinuses: A Phantom Study,23221946,2643,1.9,777,87%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Predictors of Functional Outcome after Emergency Carotid Artery Stenting and Intra-Arterial Thrombol,23139078,2644,1.9,777,87%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Recanalization after endovascular treatment of intracerebral aneurysms,17094000,4892,1.895734597,785,87%,2007,NEURORADIOLOGY
Sinus pericranii: diagnostic and therapeutic considerations in 15 patients,17285338,4896,1.895734597,785,87%,2007,NEURORADIOLOGY
Regional cerebral blood flow using quantitative MR angiography,17846193,739,1.895043732,787,87%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Imaging degeneration of the substantia nigra in Parkinson disease with inversion-recovery MR imaging,17297002,768,1.895043732,787,87%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
"Changes in fiber integrity, diffusivity, and metabolism of the pyramidal tract adjacent to gliomas:",17353313,792,1.895043732,787,87%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Detection and Significance of Incidental Unruptured Cerebral Aneurysms in Patients Undergoing Intrav,21143548,4091,1.893491124,790,87%,2012,JOURNAL OF NEUROIMAGING
Incorrect needle position during lumbar epidural steroid administration: Inaccuracy of loss of air p,15760856,64,1.89,791,87%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Percutaneous vertebroplasty for metastatic involvement of the axis,16091507,75,1.89,791,87%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Treatment and follow-up of 22 unruptured wide-necked intracranial aneurysms of the internal carotid,16155133,77,1.89,791,87%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
High fractional anisotropy in brain abscesses versus other cystic intracranial lesions,15891168,83,1.89,791,87%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion tractography of the cervical spinal cord by using parallel imaging,15709143,118,1.89,791,87%,2005,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion Measures Indicate Fight Exposure-Related Damage to Cerebral White Matter in Boxers and Mix,23928146,2990,1.89,791,87%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
4D-CT for Preoperative Localization of Abnormal Parathyroid Glands in Patients with Hyperparathyroid,27515539,2991,1.89,791,87%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Acute Basilar Artery Occlusion: Outcome of Mechanical Thrombectomy with Solitaire Stent within 8 Hou,24335542,2996,1.89,791,87%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Treatment of Cavernous Sinus Aneurysms with Flow Diversion: Results in 44 Patients,24356675,2999,1.89,791,87%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Semiautomated Volumetric Measurement on Postcontrast MR Imaging for Analysis of Recurrent and Residu,23988756,3000,1.89,791,87%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Qualitative and Quantitative Performance of F-18-FDG-PET/MRI versus F-18-FDG-PET/CT in Patients with,24924545,3003,1.89,791,87%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
"WEB Treatment of Intracranial Aneurysms: Feasibility, Complications, and 1-Month Safety Results with",25655876,3312,1.887905605,802,86%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Complications in Stent-Assisted Endovascular Therapy of Ruptured Intracranial Aneurysms and Relevanc,26138136,3314,1.887905605,802,86%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Nigrosome 1 Detection at 3T MRI for the Diagnosis of Early-Stage Idiopathic Parkinson Disease: Asses,26294646,3315,1.887905605,802,86%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion-Weighted Imaging of the Head and Neck in Healthy Subjects: Reproducibility of ADC Values i,25258365,3316,1.887905605,802,86%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
MRI Texture Analysis Predicts p53 Status in Head and Neck Squamous Cell Carcinoma,25258367,3318,1.887905605,802,86%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Visual Outcomes with Flow-Diverter Stents Covering the Ophthalmic Artery for Treatment of Internal C,25339649,3320,1.887905605,802,86%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Primary cerebral lymphoma and glioblastoma multiforme: Differences in diffusion characteristics eval,18065516,1036,1.877022654,808,86%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Diffusion tensor tractography of the Meyer loop in cases of temporal lobe resection for temporal lob,18451088,1078,1.877022654,808,86%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
MR imaging of papillary tumor of the pineal region,17925365,1099,1.877022654,808,86%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Parry-Romberg Syndrome and Rasmussen Encephalitis: Possible Association. Clinical and Neuroimaging F,19555404,3987,1.872074883,811,86%,2011,JOURNAL OF NEUROIMAGING
MRI Findings in Lymphomatosis Cerebri: Description of a Case and Revision of the Literature,20345746,3990,1.872074883,811,86%,2011,JOURNAL OF NEUROIMAGING
"MRI-Defined Corpus Callosal Atrophy in Multiple Sclerosis: A Comparison of Volumetric Measurements,",25786805,4377,1.87032419,813,86%,2015,JOURNAL OF NEUROIMAGING
Diagnostic and Prognostic Impact of pc-ASPECTS Applied to Perfusion CT in the Basilar Artery Interna,24942473,4384,1.87032419,813,86%,2015,JOURNAL OF NEUROIMAGING
White Matter Hyperintensities and Mild Cognitive Impairment in Parkinson's Disease,25753576,4386,1.87032419,813,86%,2015,JOURNAL OF NEUROIMAGING
Cerebral Blood Volume Measurements by Perfusion-Weighted MR Imaging in Gliomas: Ready for Prime Time,19179427,1352,1.865671642,816,86%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
"Diffusion Tensor Imaging in Glioblastoma Multiforme and Brain Metastases: The Role of p, q, L, and F",18842762,1358,1.865671642,816,86%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Cranial Dural Arteriovenous Fistula: Diagnosis and Classification with Time-Resolved MR Angiography,19474117,1360,1.865671642,816,86%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
3T MR Imaging of Postoperative Recurrent Middle Ear Cholesteatomas: Value of Periodically Rotated Ov,18945795,1367,1.865671642,816,86%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Intra-Arterial Recanalization Techniques for Patients 80 Years or Older with Acute Ischemic Stroke:,19342542,1394,1.865671642,816,86%,2009,AMERICAN JOURNAL OF NEURORADIOLOGY
Evaluation of electrode position in deep brain stimulation by image fusion (MRI and CT),26022355,5844,1.855670103,821,86%,2015,NEURORADIOLOGY
Patterns of neonatal hypoxic-ischaemic brain injury,20390260,5200,1.854974705,822,86%,2010,NEURORADIOLOGY
Applications of diffusion-weighted magnetic resonance imaging in head and neck squamous cell carcino,20631998,5210,1.854974705,822,86%,2010,NEURORADIOLOGY
In vivo hemodynamic analysis of intracranial aneurysms obtained by magnetic resonance fluid dynamics,20012431,5211,1.854974705,822,86%,2010,NEURORADIOLOGY
Neuroimaging findings in pediatric Wernicke encephalopathy: a review,19844698,5212,1.854974705,822,86%,2010,NEURORADIOLOGY
Congenital tumors of the central nervous system,9130087,5213,1.854974705,822,86%,2010,NEURORADIOLOGY
"Endovascular treatment of cranial dural arteriovenous fistulae: a single-centre, 14-year experience",19894041,5215,1.854974705,822,86%,2010,NEURORADIOLOGY
Functional Connectivity during Resting-State Functional MR Imaging: Study of the Correspondence betw,21998099,2289,1.85,828,86%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
Feasibility of Cerebral Blood Volume Mapping by Flat Panel Detector CT in the Angiography Suite: Fir,22207301,2323,1.85,828,86%,2012,AMERICAN JOURNAL OF NEURORADIOLOGY
High-resolution anatomy of the human brain stem using 7-T MRI: improved detection of inner structure,24357075,5720,1.848049281,830,86%,2014,NEURORADIOLOGY
Normal regional fractional anisotropy and apparent diffusion coefficient of the brain measured on a,18704391,5127,1.840490798,831,86%,2009,NEURORADIOLOGY
Onset and Progression of Pathologic Atrophy in Huntington Disease: A Longitudinal MR Imaging Study,20150305,1654,1.840056617,832,86%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Changes in Perfusion CT of Advanced Squamous Cell Carcinoma of the Head and Neck Treated during the,19875475,1665,1.840056617,832,86%,2010,AMERICAN JOURNAL OF NEURORADIOLOGY
Cerebral Microbleeds on MR Imaging: Comparison between 1.5 and 7T,21546463,1965,1.84,834,86%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
CT Angiographic Source Images: Flow- or Volume-Weighted?,21051518,2003,1.84,834,86%,2011,AMERICAN JOURNAL OF NEURORADIOLOGY
Application of Chemical Exchange Saturation Transfer (CEST) MRI for Endogenous Contrast at 7 Tesla,23402307,4154,1.831501832,836,86%,2013,JOURNAL OF NEUROIMAGING
Histopathologic Evaluation of Arterial Wall Response to 5 Neurovascular Mechanical Thrombectomy Devi,23538407,2620,1.83,837,86%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Coil Embolization versus Clipping for Ruptured Intracranial Aneurysms: A Meta-Analysis of Prospectiv,23578672,2633,1.83,837,86%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Reconstructive Endovascular Treatment of Fusiform and Dissecting Basilar Trunk Aneurysms with Flow D,22918431,2635,1.83,837,86%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Endovascular Repair of Traumatic Cervical Internal Carotid Artery Injuries: A Safe and Effective Tre,23221950,2656,1.83,837,86%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Mechanical Thrombectomy in Acute Stroke: Prospective Pilot Trial of the Solitaire FR Device while Un,22821923,2672,1.83,837,86%,2013,AMERICAN JOURNAL OF NEURORADIOLOGY
Influence of Patient Age on Angioarchitecture of Brain Arteriovenous Malformations,24627452,2988,1.83,837,86%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Long-Term White Matter Changes after Severe Traumatic Brain Injury: A 5-Year Prospective,23846796,2994,1.83,837,86%,2014,AMERICAN JOURNAL OF NEURORADIOLOGY
Ultra-High-Field MR Imaging in Polymicrogyria and Epilepsy,25258368,3317,1.828908555,844,86%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Anterior Choroidal Artery Patency and Clinical Follow-Up after Coverage with the Pipeline Embolizati,25572948,3327,1.828908555,844,86%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Dual Stenting Using Low-Profile LEO Baby Stents for the Endovascular Management of Challenging Intra,25234031,3328,1.828908555,844,86%,2015,AMERICAN JOURNAL OF NEURORADIOLOGY
Results of transvenous embolization of cavernous dural arteriovenous fistula: A single-center experi,17110671,411,1.825396825,847,86%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Combinations of the presence or absence of cerebral microbleeds and advanced white matter hyperinten,16611773,419,1.825396825,847,86%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Patient-specific computational fluid dynamics modeling of anterior communicating artery aneurysms: A,17110667,425,1.825396825,847,86%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Cerebral ischemia after filter-protected carotid artery stenting is common and cannot be predicted b,17032852,436,1.825396825,847,86%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Effects of dexamethasone on cerebral perfusion and water diffusion in patients with high-grade gliom,16484419,456,1.825396825,847,86%,2006,AMERICAN JOURNAL OF NEURORADIOLOGY
Intra-arterial thrombolysis for acute stroke in patients 80 and older: A comparison of results in pa,17213448,748,1.822157434,852,86%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
HydroCoil for endovascular aneurysm occlusion (HEAL) study: 3-6 month angiographic follow-up results,17213446,780,1.822157434,852,86%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Use of self-expanding stents in distal small cerebral vessels,17353331,793,1.822157434,852,86%,2007,AMERICAN JOURNAL OF NEURORADIOLOGY
Characterization of carotid atherosclerosis and detection of soft plaque with use of black-blood MR,18296548,1061,1.812297735,855,86%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
The pathophysiology of idiopathic normal pressure hydrocephalus: Cerebral ischemia or altered venous,17925373,1063,1.812297735,855,86%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Endovascular treatment of symptomatic intradural vertebral dissecting aneurysms,17928377,1064,1.812297735,855,86%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Reduced frontal white matter volume in long-term childhood leukemia survivors: A voxel-based morphom,18184841,1071,1.812297735,855,86%,2008,AMERICAN JOURNAL OF NEURORADIOLOGY
Impact of a new metal artefact reduction algorithm in the noninvasive follow-up of intracranial clip,23588613,5570,1.80608365,859,86%,2013,NEURORADIOLOGY
Microstructural changes of the corticospinal tract in idiopathic normal pressure hydrocephalus: a co,23728069,5576,1.80608365,859,86%,2013,NEURORADIOLOGY
The development of regional functional connectivity in preterm infants into early childhood,23881450,5580,1.80608365,859,86%,2013,NEURORADIOLOGY
"Reversible posterior leukoencephalopathy, cerebral vasoconstriction, and strokes after intravenous i",15746232,3614,1.801801802,862,86%,2005,JOURNAL OF NEUROIMAGING